chunks|metadata
. If needed, turn it on. . .  If you have multiple Google accounts, touch Account to select an account.  Follow the onscreen instructions.  To back up other files that aren't automatically backed up, like attachments or downloads: . Open the    Drive app. . .  Touch   .  Touch Upload, then choose the files or folder to upload.  Manage your backup in Drive  On your phone: . Open the|. If needed, turn it on. . .  If you have multiple Google accounts, touch Account to select an account.  Follow the onscreen instructions.  To back up other files that aren't automatically backed up, like attachments or downloads: . Open the    Drive app. . .  Touch   .  Touch Upload, then choose the files or folder to upload.  Manage your backup in Drive  On your phone: . Open the
On your phone: . Open the    Drive app. .  Touch    > Backups.  To learn about managing phone backups from a computer, read Google's help.  Restore backed up data  When you add your Google account to a phone, photos, contacts, settings and app data that you previously  backed up to that account are restored onto the phone.     Settings : System : Users and guests   Share your phone|On your phone: . Open the    Drive app. .  Touch    > Backups.  To learn about managing phone backups from a computer, read Google's help.  Restore backed up data  When you add your Google account to a phone, photos, contacts, settings and app data that you previously  backed up to that account are restored onto the phone.     Settings : System : Users and guests   Share your phone
Share your phone  Ways to share your phone           Add users. If you share your phone with family, friends, or within a business, you can set up separate  user spaces for each of them.  Lend to people as guest. This is a more temporary space that you or the guest can delete when  finished.|Share your phone  Ways to share your phone           Add users. If you share your phone with family, friends, or within a business, you can set up separate  user spaces for each of them.  Lend to people as guest. This is a more temporary space that you or the guest can delete when  finished.
Pin the screen. This lets you keep one specific app or screen in view. For example, you can pin a game  and your child cannot navigate anywhere else on your phone.  About owners, users, and guests  The owner can:           Determine whether users and guests can make phone calls and send text messages, which also allows  them to see the phone's call history and text history.|Pin the screen. This lets you keep one specific app or screen in view. For example, you can pin a game  and your child cannot navigate anywhere else on your phone.  About owners, users, and guests  The owner can:           Determine whether users and guests can make phone calls and send text messages, which also allows  them to see the phone's call history and text history.
Reset, update, and uninstall any apps.  Delete user and guests, removing any associated accounts and data from the phone.  Users and guests can:              Set up Google accounts and other types of accounts.  Set up a screen lock.  Customize the home screen and settings for their spaces.  Add and delete apps for their spaces, and update any apps they use, regardless of who installed them.|Reset, update, and uninstall any apps.  Delete user and guests, removing any associated accounts and data from the phone.  Users and guests can:              Set up Google accounts and other types of accounts.  Set up a screen lock.  Customize the home screen and settings for their spaces.  Add and delete apps for their spaces, and update any apps they use, regardless of who installed them.
Important: To prevent others from switching to your owner profile and accessing your information, set  a screen lock before you share your phone with users or guests.  When sharing your phone with users and guests, some apps are only available to the owner, not to other  users and guests.  Switch users|Important: To prevent others from switching to your owner profile and accessing your information, set  a screen lock before you share your phone with users or guests.  When sharing your phone with users and guests, some apps are only available to the owner, not to other  users and guests.  Switch users
Switch users  Only the owner can switch to the guest profile for loaning the phone and can switch between user profiles.  To switch user profiles or see which is currently active, open quick settings. At the top of the screen, you'll  see one of these icons after you've set up a user or added a guest.  Icon  Meaning|Switch users  Only the owner can switch to the guest profile for loaning the phone and can switch between user profiles.  To switch user profiles or see which is currently active, open quick settings. At the top of the screen, you'll  see one of these icons after you've set up a user or added a guest.  Icon  Meaning
Icon  Meaning  Owner (If you set up your profile in Contacts and included a picture, you'll see it and your name  instead.)     Settings : System : Users and guests   Guest  Added user  Add, modify, remove users  Add a user  You must be the device owner to add users. .|Icon  Meaning  Owner (If you set up your profile in Contacts and included a picture, you'll see it and your name  instead.)     Settings : System : Users and guests   Guest  Added user  Add, modify, remove users  Add a user  You must be the device owner to add users. .
To prevent others from switching to your owner profile and accessing your information, set a screen  lock before you share your phone. . Go to Settings > System > Multiple users.   Tip: To add users from quick settings on your lock screen without unlocking the phone, go to  Settings > System > Multiple users and turn Add users from lock screen on   . .|To prevent others from switching to your owner profile and accessing your information, set a screen  lock before you share your phone. . Go to Settings > System > Multiple users.   Tip: To add users from quick settings on your lock screen without unlocking the phone, go to  Settings > System > Multiple users and turn Add users from lock screen on   . .
. .  Touch Add user > OK. . Add the user's name. . .  To allow the user to make calls and send messages, switch on Turn on phone calls & SMS.  Select the option to switch to that user, then touch Set up now. . Give the phone to the new user to set up the profile.  Restrict calls and messages|. .  Touch Add user > OK. . Add the user's name. . .  To allow the user to make calls and send messages, switch on Turn on phone calls & SMS.  Select the option to switch to that user, then touch Set up now. . Give the phone to the new user to set up the profile.  Restrict calls and messages
Restrict calls and messages  From your owner profile, you control whether users can call and send texts with your phone: . Go to Settings > System > Multiple users.  Or from quick settings, touch    > More settings. . .  Touch the user's name.  To prevent the user from making calls or sending messages, switch off Turn on phone calls & SMS.  Remove a user|Restrict calls and messages  From your owner profile, you control whether users can call and send texts with your phone: . Go to Settings > System > Multiple users.  Or from quick settings, touch    > More settings. . .  Touch the user's name.  To prevent the user from making calls or sending messages, switch off Turn on phone calls & SMS.  Remove a user
Remove a user  You can remove yourself as a user. You must be the device owner to remove other users.  If you're a user who borrowed a phone: . Go to Settings > System > Multiple users.  Or from quick settings, touch    > More settings. .  Touch   and delete your user account from the phone.     Settings : System : Users and guests|Remove a user  You can remove yourself as a user. You must be the device owner to remove other users.  If you're a user who borrowed a phone: . Go to Settings > System > Multiple users.  Or from quick settings, touch    > More settings. .  Touch   and delete your user account from the phone.     Settings : System : Users and guests
If you're the owner: . Go to Settings > System > Multiple users.  Or from quick settings, touch    > More settings. . .  Touch the user's name.  Touch   .  Add or delete guest  Lend to guest  Create a temporary profile for sharing your phone with someone. . Go to Settings > System > Multiple users. . . . .  Touch Add guest.  To allow the guest to make calls, switch on Turn on phone calls.|If you're the owner: . Go to Settings > System > Multiple users.  Or from quick settings, touch    > More settings. . .  Touch the user's name.  Touch   .  Add or delete guest  Lend to guest  Create a temporary profile for sharing your phone with someone. . Go to Settings > System > Multiple users. . . . .  Touch Add guest.  To allow the guest to make calls, switch on Turn on phone calls.
Touch the option to switch to guest mode.  If you’ve lent your phone to a guest previously, touch Start over to clear the last guest settings, or  touch Yes, continue to keep last guest settings.  End guest session . Go to Settings > System > Multiple users. Or from quick settings, touch   . .  Touch Remove guest > Remove.  All data from and apps installed during this session are deleted.|Touch the option to switch to guest mode.  If you’ve lent your phone to a guest previously, touch Start over to clear the last guest settings, or  touch Yes, continue to keep last guest settings.  End guest session . Go to Settings > System > Multiple users. Or from quick settings, touch   . .  Touch Remove guest > Remove.  All data from and apps installed during this session are deleted.
Settings : About phone   Record your IMEI number The IMEI (International Mobile Equipment Identity) number is the unique code that identifies your phone.  You’ll need it if you contact support regarding a warranty, and it’s important to have if your phone is stolen.|Settings : About phone   Record your IMEI number The IMEI (International Mobile Equipment Identity) number is the unique code that identifies your phone.  You’ll need it if you contact support regarding a warranty, and it’s important to have if your phone is stolen.
Service providers can use the IMEI to block a stolen phone from cellular networks, and many police  departments keep a record of stolen phones using this number.  You may never need your IMEI number, but it’s a good idea to record it, just in case.  To find the IMEI number: . Go to Settings > About phone. .  See IMEI for your number. . Record and save the number where you can easily access it.|Service providers can use the IMEI to block a stolen phone from cellular networks, and many police  departments keep a record of stolen phones using this number.  You may never need your IMEI number, but it’s a good idea to record it, just in case.  To find the IMEI number: . Go to Settings > About phone. .  See IMEI for your number. . Record and save the number where you can easily access it.
You can also find your IMEI number by dialing *#06# in the Phone app. On some phones, the MEID HEX  number is your IMEI number.  If your phone doesn't turn on, check the box it came in or the receipt for the IMEI number.  Find legal and product information To view the electronic regulatory label for your phone, go to Settings > About phone > Regulatory labels.|You can also find your IMEI number by dialing *#06# in the Phone app. On some phones, the MEID HEX  number is your IMEI number.  If your phone doesn't turn on, check the box it came in or the receipt for the IMEI number.  Find legal and product information To view the electronic regulatory label for your phone, go to Settings > About phone > Regulatory labels.
For safety, environmental, warranty, and other legal information, go to Settings > About phone > Legal  information.  Printed legal information may also be provided with your phone.  To find your phone's model or serial number, go to Settings > About phone > Model > Model Number  (SKU).   Fix issues : Hardware issues|For safety, environmental, warranty, and other legal information, go to Settings > About phone > Legal  information.  Printed legal information may also be provided with your phone.  To find your phone's model or serial number, go to Settings > About phone > Model > Model Number  (SKU).   Fix issues : Hardware issues
Fix issues : Hardware issues   Phone is slow or unstable If a certain app is slow, try these app-specific troubleshooting steps.  If your phone is slow when viewing online content, it could be an issue with your connection. If you're on  Wi-Fi, use a different Wi-Fi network, switch to mobile data, or contact your Internet Service Provider. If  you're using a mobile connection, switch to Wi-Fi.|Fix issues : Hardware issues   Phone is slow or unstable If a certain app is slow, try these app-specific troubleshooting steps.  If your phone is slow when viewing online content, it could be an issue with your connection. If you're on  Wi-Fi, use a different Wi-Fi network, switch to mobile data, or contact your Internet Service Provider. If  you're using a mobile connection, switch to Wi-Fi.
If all apps are slow, it's probably an issue with your phone, not an app on your phone. Try these  troubleshooting steps. After each step, check to see if the issue is fixed: .  Turn your phone off and then on again.        Press and hold the Power button, then touch Power off.|If all apps are slow, it's probably an issue with your phone, not an app on your phone. Try these  troubleshooting steps. After each step, check to see if the issue is fixed: .  Turn your phone off and then on again.        Press and hold the Power button, then touch Power off.
If your phone is frozen, reboot it by pressing and holding the Power button for 7-10 seconds. . Check for system updates.  Go to Settings > System updates. . Check for app updates.  Open the Play Store app and touch your profile icon    > Manage apps & device. . Check available storage and clear space if needed.  Phone feels warm or hot  Overview|If your phone is frozen, reboot it by pressing and holding the Power button for 7-10 seconds. . Check for system updates.  Go to Settings > System updates. . Check for app updates.  Open the Play Store app and touch your profile icon    > Manage apps & device. . Check available storage and clear space if needed.  Phone feels warm or hot  Overview
Phone feels warm or hot  Overview  It's normal for your phone to feel warm, or even hot, depending on how you're using it.  If your phone ever becomes too hot, it will ask you to turn it off so it can cool down. Some phones will stay  on but limit the phone's capabilities until it cools down.|Phone feels warm or hot  Overview  It's normal for your phone to feel warm, or even hot, depending on how you're using it.  If your phone ever becomes too hot, it will ask you to turn it off so it can cool down. Some phones will stay  on but limit the phone's capabilities until it cools down.
If your phone is too hot to touch, use a different phone, tablet, or computer to contact Motorola support.  Reasons your phone may get warm  Doing one or more of the following activities may cause your phone to get warm:                 Playing videos, games, or other media apps  Using GPS navigation  Tethering your phone or using it as a Wi-Fi hotspot  Using phone while it's charging|If your phone is too hot to touch, use a different phone, tablet, or computer to contact Motorola support.  Reasons your phone may get warm  Doing one or more of the following activities may cause your phone to get warm:                 Playing videos, games, or other media apps  Using GPS navigation  Tethering your phone or using it as a Wi-Fi hotspot  Using phone while it's charging
Using phone while it's charging  Downloading or uploading a lot of data  Ways to keep your phone from heating up     Pause resource-intensive features or apps until your phone cools down.   Fix issues : Hardware issues               Always use the charger that came with your phone.  Keep your phone away from direct heat or excessive sunlight.|Using phone while it's charging  Downloading or uploading a lot of data  Ways to keep your phone from heating up     Pause resource-intensive features or apps until your phone cools down.   Fix issues : Hardware issues               Always use the charger that came with your phone.  Keep your phone away from direct heat or excessive sunlight.
Don't keep your phone in enclosed or poorly ventilated areas where heat can easily build up.  Lower your phone's display brightness.  If you're not using or charging it  Sometimes a process can get stuck in the background. If your phone is hot but you're not using or charging  it, turn your phone off and on again. This will stop the previously stuck process and resolve the issue.|Don't keep your phone in enclosed or poorly ventilated areas where heat can easily build up.  Lower your phone's display brightness.  If you're not using or charging it  Sometimes a process can get stuck in the background. If your phone is hot but you're not using or charging  it, turn your phone off and on again. This will stop the previously stuck process and resolve the issue.
Phone won't turn on If your phone isn't starting, has a black or blank screen, or turns on but immediately turns off, try these  steps to fix the issue. . Press & hold the Power button for 5-7 seconds, or up to 30 seconds.  This restarts (reboots) your phone. . Charge the phone.|Phone won't turn on If your phone isn't starting, has a black or blank screen, or turns on but immediately turns off, try these  steps to fix the issue. . Press & hold the Power button for 5-7 seconds, or up to 30 seconds.  This restarts (reboots) your phone. . Charge the phone.
If your phone has a sign-of-life indicator, look for a white light near the top front of the phone. This  indicates that the phone is charging but battery is too low to power the screen.  If you're having problems charging, try these troubleshooting steps. .|If your phone has a sign-of-life indicator, look for a white light near the top front of the phone. This  indicates that the phone is charging but battery is too low to power the screen.  If you're having problems charging, try these troubleshooting steps. .
If you don't see a battery icon after you plug your phone in to charge, the issue could be with your  screen. Check if your phone rings by calling it from another phone. If it rings, the issue is with your  screen and you can try these troubleshooting steps. . Perform an external reset of your phone. Learn how. .|If you don't see a battery icon after you plug your phone in to charge, the issue could be with your  screen. Check if your phone rings by calling it from another phone. If it rings, the issue is with your  screen and you can try these troubleshooting steps. . Perform an external reset of your phone. Learn how. .
If you have a Windows PC, download Rescue and Smart Assistant to your PC and try reinstalling the  phone's system software.  Phone restarts or crashes If your phone randomly reboots, restarts, or shuts down without restarting, try the following. . Restart your phone:  a. Hold down the Power button for about 30 seconds.  b.|If you have a Windows PC, download Rescue and Smart Assistant to your PC and try reinstalling the  phone's system software.  Phone restarts or crashes If your phone randomly reboots, restarts, or shuts down without restarting, try the following. . Restart your phone:  a. Hold down the Power button for about 30 seconds.  b.
b.  If this doesn't work, connect your phone to charge for at least 5 minutes. Then, while connected to  the charger, restart again by holding down the Power button for 30 seconds. .  Troubleshoot your phone:  a. Check if a software update is available for your phone.  b. Check available storage and clear space if needed.|b.  If this doesn't work, connect your phone to charge for at least 5 minutes. Then, while connected to  the charger, restart again by holding down the Power button for 30 seconds. .  Troubleshoot your phone:  a. Check if a software update is available for your phone.  b. Check available storage and clear space if needed.
You may see issues if your phone's internal storage is almost full. To free up space, remove  unnecessary files and clear cached data.   Fix issues : Hardware issues  .  Troubleshoot your apps:  a. Check for app updates.  b. Use safe mode to see if apps you installed are causing the issue and uninstall as needed.|You may see issues if your phone's internal storage is almost full. To free up space, remove  unnecessary files and clear cached data.   Fix issues : Hardware issues  .  Troubleshoot your apps:  a. Check for app updates.  b. Use safe mode to see if apps you installed are causing the issue and uninstall as needed.
If your problem doesn't go away in safe mode, restart your phone and continue to the next section. . Reset to factory settings:  To remove any processes on your phone that may be causing the issue, you can reset your phone to  factory settings.  A factory data reset will remove all data from your phone. .|If your problem doesn't go away in safe mode, restart your phone and continue to the next section. . Reset to factory settings:  To remove any processes on your phone that may be causing the issue, you can reset your phone to  factory settings.  A factory data reset will remove all data from your phone. .
If you have a Windows PC, download Rescue and Smart Assistant to your PC and try reinstalling the  phone's system software.  Screen is frozen or won't respond  Tip: If your screen goes black when the phone rings so you can't answer the call, clear data for the  Phone app.  If your screen lags or blurs motion between actions, raise your refresh rate.|If you have a Windows PC, download Rescue and Smart Assistant to your PC and try reinstalling the  phone's system software.  Screen is frozen or won't respond  Tip: If your screen goes black when the phone rings so you can't answer the call, clear data for the  Phone app.  If your screen lags or blurs motion between actions, raise your refresh rate.
If your phone freezes, stops responding, or is stuck on a blank or white screen, try the following: . Restart your phone. Hold down the Power button for about 30 seconds. .  If this doesn't work, charge your phone for at least 5 minutes. Then, while connected to the charger,  restart again by holding down the Power button for 30 seconds.|If your phone freezes, stops responding, or is stuck on a blank or white screen, try the following: . Restart your phone. Hold down the Power button for about 30 seconds. .  If this doesn't work, charge your phone for at least 5 minutes. Then, while connected to the charger,  restart again by holding down the Power button for 30 seconds.
If your phone freezes again, check for a larger issue: . Restart your phone to unfreeze it. . Check if a software update is available for your phone. . Check available storage and clear space if needed.  You may see issues if your phone's internal storage is almost full. To free up space, remove unnecessary  files and clear cached data. . Check for app updates.|If your phone freezes again, check for a larger issue: . Restart your phone to unfreeze it. . Check if a software update is available for your phone. . Check available storage and clear space if needed.  You may see issues if your phone's internal storage is almost full. To free up space, remove unnecessary  files and clear cached data. . Check for app updates.
If you can't unfreeze the phone, reset your phone to factory settings, to remove any processes that may  be causing the issue.  A factory data reset will remove all data from your phone.  Screen displays wrong colors  Everything is grayscale, black and white  Go to Settings > Digital Wellbeing & parental controls > Bedtime mode > Off.     Fix issues : Hardware issues|If you can't unfreeze the phone, reset your phone to factory settings, to remove any processes that may  be causing the issue.  A factory data reset will remove all data from your phone.  Screen displays wrong colors  Everything is grayscale, black and white  Go to Settings > Digital Wellbeing & parental controls > Bedtime mode > Off.     Fix issues : Hardware issues
Fix issues : Hardware issues   Everything is negative, reversed colors  Go to Settings > Accessibility > Text and display > Color inversion and turn it off   .  Tones, hues are different or missing        If the screen shows warmer tones than usual, check quick settings. If    Night Light is on, turn it off.|Fix issues : Hardware issues   Everything is negative, reversed colors  Go to Settings > Accessibility > Text and display > Color inversion and turn it off   .  Tones, hues are different or missing        If the screen shows warmer tones than usual, check quick settings. If    Night Light is on, turn it off.
Night Light is on, turn it off.  If certain colors appear diminished or their hues are different, go to Settings > Accessibility > Text and  display > Color correction and turn Use color correction off   .  Background turned dark/light  Go to Settings > Display and turn Dark theme off   .   Fix issues : Call and SIM issues|Night Light is on, turn it off.  If certain colors appear diminished or their hues are different, go to Settings > Accessibility > Text and  display > Color correction and turn Use color correction off   .  Background turned dark/light  Go to Settings > Display and turn Dark theme off   .   Fix issues : Call and SIM issues
.   Fix issues : Call and SIM issues   Issues making/receiving calls After each troubleshooting step, check to see if your issue is fixed.   icon is missing  If    disappeared from your home screen, you just need to add a shortcut for the Phone app.  SIM card not recognized  If you see    or    in the status bar or a message that the SIM is not recognized: .|.   Fix issues : Call and SIM issues   Issues making/receiving calls After each troubleshooting step, check to see if your issue is fixed.   icon is missing  If    disappeared from your home screen, you just need to add a shortcut for the Phone app.  SIM card not recognized  If you see    or    in the status bar or a message that the SIM is not recognized: .
Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Do one of the following:        If your phone allows one SIM card, turn your phone off, then remove and reinsert the SIM.|Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Do one of the following:        If your phone allows one SIM card, turn your phone off, then remove and reinsert the SIM.
If your phone allows dual SIMs, disable the SIM, then enable it again. Go to Settings > Network &  internet > SIM cards. Turn the SIM off   . Then turn it on   . .|If your phone allows dual SIMs, disable the SIM, then enable it again. Go to Settings > Network &  internet > SIM cards. Turn the SIM off   . Then turn it on   . .
. Then turn it on   . .  If your phone has dual SIMs, turn your phone off, then remove the SIM that is not recognized and try it  in the other SIM slot. . Contact your carrier to make sure your account is set up properly. . Ask your carrier to replace the SIM card. . Perform an external phone reset.  No signal . . .  If you usually have a signal    but the status bar shows|. Then turn it on   . .  If your phone has dual SIMs, turn your phone off, then remove the SIM that is not recognized and try it  in the other SIM slot. . Contact your carrier to make sure your account is set up properly. . Ask your carrier to replace the SIM card. . Perform an external phone reset.  No signal . . .  If you usually have a signal    but the status bar shows
but the status bar shows    in your current location, move to another   area where you can receive a signal, like outdoors. If you’re uncertain whether your carrier provides  service in that location, check the coverage map on your carrier’s website.  If airplane mode is on, turn it off.|but the status bar shows    in your current location, move to another   area where you can receive a signal, like outdoors. If you’re uncertain whether your carrier provides  service in that location, check the coverage map on your carrier’s website.  If airplane mode is on, turn it off.
If airplane mode is on, turn it off.  Turn your phone off and then on again. . Check for app updates. . Check if a software update is available for your phone. . Remove your SIM card and reinsert. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Reset the phone.   Fix issues : Call and SIM issues   Have signal, but can’t make calls .|If airplane mode is on, turn it off.  Turn your phone off and then on again. . Check for app updates. . Check if a software update is available for your phone. . Remove your SIM card and reinsert. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Reset the phone.   Fix issues : Call and SIM issues   Have signal, but can’t make calls .
Have signal, but can’t make calls .  Turn your phone off and then on again.|Have signal, but can’t make calls .  Turn your phone off and then on again.
Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Clear the cache for the Phone app. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Check if a software update is available for your phone. . Reset the phone.|Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Clear the cache for the Phone app. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Check if a software update is available for your phone. . Reset the phone.
Phone doesn’t ring or ring loud enough . Check your volume setting. .  Look for    in your status bar. If you see it:    Open quick settings and touch    to turn Do Not Disturb off. Your phone will ring for incoming   calls.    Make sure your phone is set to screen calls at the appropriate times. . Check that your ringtone is not set to None. . .|Phone doesn’t ring or ring loud enough . Check your volume setting. .  Look for    in your status bar. If you see it:    Open quick settings and touch    to turn Do Not Disturb off. Your phone will ring for incoming   calls.    Make sure your phone is set to screen calls at the appropriate times. . Check that your ringtone is not set to None. . .
Is your phone connected with a Bluetooth device? If so, all audio is routed to the Bluetooth device.  If you're using a ringtone that you installed, try using a ringtone that came with the phone. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. Begin with   application types like launchers, task killers, or anti-virus apps.|Is your phone connected with a Bluetooth device? If so, all audio is routed to the Bluetooth device.  If you're using a ringtone that you installed, try using a ringtone that came with the phone. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. Begin with   application types like launchers, task killers, or anti-virus apps.
Can't answer ringing phone . Clear the data for the Phone app.  Touch & hold   , then touch    > Storage & cache > Clear storage.  Consistent busy signal  Outbound calls . .  If you hear a fast busy signal when you call a number, all cellular circuits may be in use, preventing the  call from going through. Try calling again later.|Can't answer ringing phone . Clear the data for the Phone app.  Touch & hold   , then touch    > Storage & cache > Clear storage.  Consistent busy signal  Outbound calls . .  If you hear a fast busy signal when you call a number, all cellular circuits may be in use, preventing the  call from going through. Try calling again later.
If you hear a fast busy signal every time you call the same number, your number may be blocked by an  app. Try calling from a different number.  Incoming calls  If you have a signal and can make calls, but callers tell you they consistently get a busy signal when calling  you, check that you haven’t blocked their numbers.|If you hear a fast busy signal every time you call the same number, your number may be blocked by an  app. Try calling from a different number.  Incoming calls  If you have a signal and can make calls, but callers tell you they consistently get a busy signal when calling  you, check that you haven’t blocked their numbers.
Issues during calls After each troubleshooting step, check to see if your issue is fixed.   Fix issues : Call and SIM issues   Screen goes black .  If you are using a case, cover or screen protector, remove it and see if it was causing the issue. . Check your proximity sensor.|Issues during calls After each troubleshooting step, check to see if your issue is fixed.   Fix issues : Call and SIM issues   Screen goes black .  If you are using a case, cover or screen protector, remove it and see if it was causing the issue. . Check your proximity sensor.
Dial a call and set the phone on a table (don't use speaker mode), then hold your hand over the  proximity sensor to see if you can turn the screen off and on. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed.  Calls are dropping . Check your signal strength:|Dial a call and set the phone on a table (don't use speaker mode), then hold your hand over the  proximity sensor to see if you can turn the screen off and on. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed.  Calls are dropping . Check your signal strength:
  Weak signal from your cellular provider is a common cause of dropped calls. In the status bar, see  how many bars your network connection has. If you see only one or two bars, change locations to  improve your signal strength, particularly if you are indoors. .  Turn your phone off and then on again.|  Weak signal from your cellular provider is a common cause of dropped calls. In the status bar, see  how many bars your network connection has. If you see only one or two bars, change locations to  improve your signal strength, particularly if you are indoors. .  Turn your phone off and then on again.
Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . During a call, check that the proximity sensor works by covering it to confirm that it turns off your|Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . During a call, check that the proximity sensor works by covering it to confirm that it turns off your
screen, preventing accidental touches during calls. You can also download an app to automatically lock  your screen during calls; search for “call screen lock” on Play Store. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Check if a software update is available for your phone. . Reset the phone.|screen, preventing accidental touches during calls. You can also download an app to automatically lock  your screen during calls; search for “call screen lock” on Play Store. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Check if a software update is available for your phone. . Reset the phone.
People can’t hear me on calls . Check that nothing is covering the microphone:        If you are using a case, cover or screen protector, remove it and see if it was causing the issue.  Check that the protective film that ships with the phone has been removed. . Check to see if your phone is using Voice privacy. (This feature is not available on all models.) Turn it off|People can’t hear me on calls . Check that nothing is covering the microphone:        If you are using a case, cover or screen protector, remove it and see if it was causing the issue.  Check that the protective film that ships with the phone has been removed. . Check to see if your phone is using Voice privacy. (This feature is not available on all models.) Turn it off
to see if sound quality improves:  a.  Touch   .  b. Touch   > Settings > Calls. .  If the issue occurs while using the speakerphone or a Bluetooth headset, check your signal strength.  In the status bar, see how many bars your network connection has. If you see only one or two bars,  change locations to improve your signal strength, particularly if you are indoors. .|to see if sound quality improves:  a.  Touch   .  b. Touch   > Settings > Calls. .  If the issue occurs while using the speakerphone or a Bluetooth headset, check your signal strength.  In the status bar, see how many bars your network connection has. If you see only one or two bars,  change locations to improve your signal strength, particularly if you are indoors. .
Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Check if a software update is available for your phone.   Fix issues : Call and SIM issues  .  Turn off Voice Match.  a. Open the Google app.  b. Touch your profile icon    > Settings > Voice > Voice Match.  c.  Turn Hey Google off   .|Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Check if a software update is available for your phone.   Fix issues : Call and SIM issues  .  Turn off Voice Match.  a. Open the Google app.  b. Touch your profile icon    > Settings > Voice > Voice Match.  c.  Turn Hey Google off   .
c.  Turn Hey Google off   .  Saying “OK, Google” won't work from all screens, but you can touch the search widget first, then say  “OK, Google”. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Reset the phone.  Poor sound quality on calls|c.  Turn Hey Google off   .  Saying “OK, Google” won't work from all screens, but you can touch the search widget first, then say  “OK, Google”. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Reset the phone.  Poor sound quality on calls
Poor sound quality on calls  Start by checking your volume setting. You can only adjust the call volume with the Volume buttons while  you’re on a call.  Wired headset . Make sure the headset is inserted completely into the headset jack. . .  If you are using a case or cover, remove it and re-insert the headset to see if it was interfering.|Poor sound quality on calls  Start by checking your volume setting. You can only adjust the call volume with the Volume buttons while  you’re on a call.  Wired headset . Make sure the headset is inserted completely into the headset jack. . .  If you are using a case or cover, remove it and re-insert the headset to see if it was interfering.
Try a different headset to determine if the issue is with the original headset.  Earpiece . Check that nothing is covering the microphone:        If you are using a case, cover or screen protector, remove it and see if it was causing the issue.|Try a different headset to determine if the issue is with the original headset.  Earpiece . Check that nothing is covering the microphone:        If you are using a case, cover or screen protector, remove it and see if it was causing the issue.
Check that the protective film that ships with the phone has been removed. . While in a call, try using the speakerphone or a wired headset to see if the sound quality improves. If it   doesn’t, the issue is probably network signal strength instead of hardware. .  Turn your phone off and then on again.|Check that the protective film that ships with the phone has been removed. . While in a call, try using the speakerphone or a wired headset to see if the sound quality improves. If it   doesn’t, the issue is probably network signal strength instead of hardware. .  Turn your phone off and then on again.
Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Check if a software update is available for your phone. . Reset the phone.  Bluetooth device|Turn your phone off and then on again.  Press and hold the Power button, then touch Power off. Then turn it on to establish a new connection  with the network. . Use safe mode to see if apps you installed are causing the issue and uninstall as needed. . Check if a software update is available for your phone. . Reset the phone.  Bluetooth device
Bluetooth device  Check battery level of Bluetooth device and phone, and charge if necessary. Bluetooth devices may  disconnect or create noise when the phone or Bluetooth battery are low.  Can't make/receive calls  Try these troubleshooting steps.   Fix issues : Battery issues|Bluetooth device  Check battery level of Bluetooth device and phone, and charge if necessary. Bluetooth devices may  disconnect or create noise when the phone or Bluetooth battery are low.  Can't make/receive calls  Try these troubleshooting steps.   Fix issues : Battery issues
Fix issues : Battery issues   Charging issues Try these troubleshooting steps. After each step, check to see if your issue is fixed. . Make sure the USB plug fits securely into the phone. .  If the battery is completely depleted, connect the charger and wait about 10 minutes until it has enough  voltage to charge, then press the Power button. .|Fix issues : Battery issues   Charging issues Try these troubleshooting steps. After each step, check to see if your issue is fixed. . Make sure the USB plug fits securely into the phone. .  If the battery is completely depleted, connect the charger and wait about 10 minutes until it has enough  voltage to charge, then press the Power button. .
